,Tweets,Date,Likes,RTs,Orchestrate
20,Something has definitely changed in the mood of the Chinese nation and it does not bode well for Xi or the CCP. Thi… https://t.co/5iSyUOiemc,2022-11-29 09:31:37+00:00,1,0,0
21,"@TECRO_USA
@WilliamYang120
The CCP opposes democratic regimes that can survive. Under Xi, the Chinese are growing m… https://t.co/iS9JYm1NWl",2022-11-29 09:31:33+00:00,0,0,0
22,"@tedcruz Who are stealing your Pension?
Who are destroyer of your cornerstone of liberal &amp;democracy
Who are becomin… https://t.co/nfQziJVtOl",2022-11-29 09:31:21+00:00,0,0,0
23,If you could put a moment in a time capsule -- CCP police checking citizens' phones for posts on @elonmusk 's… https://t.co/4QJ8j7BDEt,2022-11-29 09:31:15+00:00,0,0,0
24,"@Joseph_C_Wu
@karenyu
The CCP is one of the greatest threats to Britain &amp; other democratic nations. It is flexing i… https://t.co/em7oCDGp7b",2022-11-29 09:31:12+00:00,0,0,1
25,"@RyanAFournier @RepMattGaetz Who are stealing your Pension?
Who are destroyer of your cornerstone of liberal &amp;democ… https://t.co/dKxx4I2zwj",2022-11-29 09:31:00+00:00,0,0,1
26,"@ctba
@UKinTaiwan
Because of concerns about Xinjiang &amp; Hong Kong, Britain's relations with China have deteriorated… https://t.co/Y1dEuja7Fz",2022-11-29 09:30:53+00:00,0,0,0
27,"@RepMattGaetz Who are stealing your Pension?
Who are destroyer of your cornerstone of liberal &amp;democracy
Who are be… https://t.co/T5TIFCiULA",2022-11-29 09:30:53+00:00,0,0,1
28,@SCMPNews Never trust or invest in the CCP in China and their corporations or debt.,2022-11-29 09:30:52+00:00,0,0,0
29,@michaelturton It's been remarkably deft – invisible hand stuff – but it's clear now that with CCP in Beijing poise… https://t.co/bhzkEprLXm,2022-11-29 09:30:51+00:00,0,0,0
30,@Newsweek Apple wallet is owned by Xi and the CCP.   Where does Apples 🍎 loyalty reside?  Freedom of speech in Chin… https://t.co/rPB14AGBst,2022-11-29 09:30:45+00:00,0,0,1
31,"If we don't stand up, every one of us, no matter where you are in the world, the CCP has the power to hang us...",2022-11-29 09:30:44+00:00,0,0,0
32,Marta #CCP Grateful #世界杯 Kendra #DOGE Winston #卡塔尔世界杯  https://t.co/wounvbIXe6,2022-11-29 09:30:42+00:00,0,0,1
33,"@kayleighmcenany @marklevinshow @FoxNews Who are stealing your Pension?
Who are destroyer of your cornerstone of li… https://t.co/ckraK23tD4",2022-11-29 09:30:36+00:00,0,0,1
34,So @Apple is good with America burning but takes the side of the CCP? Interesting. The 2 faces of @tim_cook will co… https://t.co/93vShw8vv2,2022-11-29 09:30:25+00:00,0,0,1
35,"@DonaldJTrumpJr @officialpsq Who are stealing your Pension?
Who are destroyer of your cornerstone of liberal &amp;democ… https://t.co/xxXV4wWHYd",2022-11-29 09:30:22+00:00,0,0,1
36,"https://t.co/zLP55btvpk Good as far as it goes, but sadly stops short of mentioning Hunt's CCP wife and Sunak's in laws links to the CCP",2022-11-29 09:30:19+00:00,0,0,0
37,Tammy #足球预测 Warlike #世界杯 Compassionate #CCP Davin #世界杯投注  https://t.co/ry4In0Iv4N,2022-11-29 09:30:16+00:00,0,0,1
38,"@gjtaiwan
@daisukitaiwan
Britain already dislikes the CCP because its operatives have been engaged in the British P… https://t.co/KOMu9xBeuQ",2022-11-29 09:30:12+00:00,0,0,1
39,@TheMarieOakes @TheLaurenChen Apple is more afraid of the CCP than the US government.  they are a compromised forei… https://t.co/g1ge4q6faw,2022-11-29 09:30:09+00:00,0,0,1
40,"@SebGorka Apple has just cut it's market 50% down.
Traders must be impartial. Law of the market.
Possibly Apple inv… https://t.co/7vPGgL2sbp",2022-11-29 09:30:08+00:00,0,0,1
41,"@elonmusk Hmm I used to think they didn't take orders from the CCP , now I'm really questioning that opinion and se… https://t.co/FtGIwZ97SW",2022-11-29 09:30:03+00:00,0,0,0
42,"@WomensRightsTW
@eballgogogo
The UK has cautioned the CCP that there is ""absolutely no excuse"" for the beating of a… https://t.co/lJyMNkmArb",2022-11-29 09:29:51+00:00,0,0,0
43,@Reuters Why doesn't the CCP put it's ego aside &amp; buy vaccines from India or the US cuz the Chinese one does not seem to be that effective,2022-11-29 09:29:44+00:00,0,0,0
44,@HuXijin_GT It’s not a wild assumption that Omicron will still exist while CCP’s reign vanishes.,2022-11-29 09:29:42+00:00,0,0,0
45,Marta #CCP Grateful #世界杯 Kendra #DOGE Winston #卡塔尔世界杯  https://t.co/FQNDi0RStT,2022-11-29 09:29:36+00:00,0,0,1
46,"@MariaEd29880061 It goes without saying that if the ""Blue Gold"" and Guo Wengui's exposure of the CCP's inside story… https://t.co/mmjIq6tGTZ",2022-11-29 09:29:29+00:00,0,0,0
47,"@TheBabylonBee Who are stealing your Pension?
Who are destroyer of your cornerstone of liberal &amp;democracy
Who are b… https://t.co/wu3nGIhg4i",2022-11-29 09:29:27+00:00,0,0,1
48,@roller2426 Pavlovian conditioning on a global scale... if the CCP cant do it.. just watch the Plutocractic class a… https://t.co/PIVlrzCmqx,2022-11-29 09:28:45+00:00,0,0,0
49,"@GordonGChang I hope the are able to accomplish this sooner rather then eventually. 
These people have suffered far… https://t.co/YrRGWK3Jlg",2022-11-29 09:28:45+00:00,0,0,0
50,@elonmusk @saylor @lexfridman You mean companies like Tesla getting free subsidies from the government. Or how they… https://t.co/pKdcnnwEsp,2022-11-29 09:28:40+00:00,0,0,0
51,@WSJ Apple thus supports CCP and Slave Work. Stop that now,2022-11-29 09:28:40+00:00,0,0,1
52,Yea... I think you better sit this one out.. LOL https://t.co/jPETzO3F74 via @YouTube #China #CCP #Lockdowns,2022-11-29 09:28:32+00:00,0,0,1
53,"@O8EZknt6NHuqHL7 @z39460559 @WendyG39840443 @EssenHou1 @QingenXu No one does not want freedom, but because of the C… https://t.co/bPE9xcrJAL",2022-11-29 09:28:25+00:00,0,0,0
54,"BREAKING: CCP China is preparing for a nationwide ban of white paper.
The whites will be replaced with patriotic ye… https://t.co/kFIXsf3IhZ",2022-11-29 09:28:24+00:00,0,0,1
55,"@robert_spalding Not CCP,all Chinese people know this is CIA-funded.",2022-11-29 09:28:19+00:00,0,0,0
56,"@TulsiGabbard Who are stealing your Pension?
Who are destroyer of your cornerstone of liberal &amp;democracy
Who are be… https://t.co/rVYSFXMgx3",2022-11-29 09:28:12+00:00,0,0,1
57,"@JohnnyChiang12
@kuomintang
Britain accepts its principles &amp; interests are systemically threatened by the CCP, a th… https://t.co/Ju5we3Sn6a",2022-11-29 09:28:10+00:00,0,0,1
58,"Surfing the Apocalypse on twitter for a day while otherwise disposed to Civil War against CCP
Lord have mercy on al… https://t.co/N336apLoJC",2022-11-29 09:28:03+00:00,0,0,0
59,@mitchmitch1 @DreyerChina @KieranMaguire Manipulate...the truth...that's what the CCP does...it's the only way that… https://t.co/X2A3Tzf6Ha,2022-11-29 09:27:59+00:00,0,0,0
60,"We still have places available for our REAL workshop on ESM/EMA, taught by an amazing team of ESM researchers, who… https://t.co/EgLy6wnhPz",2022-11-29 09:27:57+00:00,0,0,0
61,@benedictrogers Anyone who supports the CCP and the Hong Kong government can attack dissidents in Hong Kong at will… https://t.co/jhooLuO9A3,2022-11-29 09:27:51+00:00,0,0,0
62,"@TheMarieOakes @TheLaurenChen Since apple phones are made in China, apple is a business partner of the CCP",2022-11-29 09:27:49+00:00,0,0,1
63,@iingwen @PhilipJPierreLC Please spend time on China protest. It is a good time to eliminate CCP,2022-11-29 09:27:49+00:00,0,0,0
64,"@MakeItAQuote Who are stealing your Pension?
Who are destroyer of your cornerstone of liberal &amp;democracy
Who are be… https://t.co/Zj5owxb7tg",2022-11-29 09:27:45+00:00,1,0,1
65,"@BandhiniF Ma’am as an Indian who’s been following the news of SL since the revolt agst the Rajapaksas, I’m surpris… https://t.co/zzdF7tYv2W",2022-11-29 09:27:43+00:00,0,0,0
66,"@AMFChina I don’t think so.
You underestimated the CCP while overestimated the Chinese.",2022-11-29 09:27:42+00:00,0,0,0
67,@rightscholar The Vatican involved in a secret deal with the CCP was never good. Cardinal Zen tried to no avail to… https://t.co/Tqh5hkDvkG,2022-11-29 09:27:38+00:00,0,0,1
68,"@chia_lung
@TW_Belize
Following the beating of a BBC journalist reporting protests in China, British Prime Minister… https://t.co/h2WGaH82rr",2022-11-29 09:27:33+00:00,0,0,0
69,@ChuckPepperdine @SeanBraisted @GratefulMoMBack @BadOpinions5 @willchamberlain #CorporateWars to silence the people… https://t.co/JAELaDQFU2,2022-11-29 09:27:32+00:00,0,0,0
70,@LynAldenContact @elonmusk @SwipeWright The truckers tried free speech in Canada. Maybe the CCP is just copying Trudeau.,2022-11-29 09:27:24+00:00,0,0,0
71,@KimDotcom @elonmusk @stillgray Build a better phone here in the USA not in China where the CCP gets money from thi… https://t.co/QOjH2MbVIo,2022-11-29 09:27:20+00:00,0,0,0
72,"@benshapiro Who are stealing your Pension?
Who are destroyer of your cornerstone of liberal &amp;democracy
Who are beco… https://t.co/iGs3rTflVf",2022-11-29 09:27:20+00:00,0,0,1
73,"@antoskhal I don't but they're not bad as an opposition party.
They're the most vocal critics of the CCP and Russia… https://t.co/7ZL1Wzhzq2",2022-11-29 09:27:15+00:00,0,0,0
74,An explosion of #Chinese escort services being posted to #Twitter are part of a comprehensive ploy by #Beijing to c… https://t.co/walp4yR6i6,2022-11-29 09:27:14+00:00,0,0,0
75,"#WATCH: If you search for 北京 (Bejing) on Twitter... 
Flooded with spam. #ChinaProtests #ChinaUprising #Beijing #CCP… https://t.co/m3KQUVgW8B",2022-11-29 09:27:14+00:00,0,0,0
76,@LynAldenContact @elonmusk @SwipeWright He won't. Because of his shady dealings with the CCP.,2022-11-29 09:27:11+00:00,0,0,0
77,How #China's #Covid #protests are being silenced https://t.co/5cq6u0Pp3o via @BBCNews #ChinaProtests #ChinaUprising… https://t.co/kXdDW7cPIL,2022-11-29 09:27:02+00:00,0,0,0
78,"@okx Who are stealing your Pension?
Who are destroyer of your cornerstone of liberal &amp;democracy
Who are becoming Li… https://t.co/6JSbSyTXW1",2022-11-29 09:26:55+00:00,0,0,1
79,@FoxNews CCP gonna CCP wherever they can,2022-11-29 09:26:40+00:00,0,0,0
80,Ward #lpl Jerome #世界杯 Butterfly #CCP Julia #世界杯投注  https://t.co/ECM5p8u6HW,2022-11-29 09:26:34+00:00,0,0,1
81,"@TheBabylonBee Who are stealing your Pension?
Who are destroyer of your cornerstone of liberal &amp;democracy
Who are b… https://t.co/lA0gc113ir",2022-11-29 09:26:28+00:00,0,0,1
82,"@Outkick @TomiLahren @TheBabylonBee @SethDillon @OpLightShine Who are stealing your Pension?
Who are destroyer of y… https://t.co/hy7N81nt8L",2022-11-29 09:26:10+00:00,0,0,1
83,"@NFA_TAIWAN
@HakkaAffairs
In light of CCP’s cruel agenda, the #UKRejectsChina &amp; is replacing its wishful thinking w… https://t.co/6ftJ8Ozmm8",2022-11-29 09:26:08+00:00,0,0,0
84,"I will not say anything about Shanghai for the time being, because the CCP will imitate and its own land will be ch… https://t.co/C9ABzLwqtV",2022-11-29 09:26:08+00:00,0,0,0
85,@LegendaryEnergy Don't say the CCP. That's bad. Just say it's 96 million individuals that are committing crimes aga… https://t.co/lAkCl6mu9V,2022-11-29 09:25:58+00:00,0,0,0
86,"@HawleyMO @Apple Who are stealing your Pension?
Who are destroyer of your cornerstone of liberal &amp;democracy
Who are… https://t.co/48KvkdvePv",2022-11-29 09:25:52+00:00,0,0,1
87,"@eballgogogo
@TaiwanDPP_DC
The best way to end EVIL is to break the very root of it!  All developed nations must re… https://t.co/je0CVvcvTk",2022-11-29 09:25:50+00:00,0,0,0
88,@DreyerChina The CCP's propoganda and censorship is pathetic and laughable...Xi Jinping is loser of a grandiose sca… https://t.co/1dQny0zq4n,2022-11-29 09:25:42+00:00,0,0,0
89,Worrying scenes in China. Even if it were possible don’t wish for an overthrow of the CCP. China would descend into… https://t.co/xnm61CNZH7,2022-11-29 09:25:41+00:00,0,0,0
90,Violent fight broke out between CCP goons and angry quarantined people. #ChinaRevolution #ChinaLockdown… https://t.co/tXiiHn3DHc,2022-11-29 09:25:37+00:00,2,1,1
91,@JokeBiden1 @USNATO @NATO Defending democratic Taiwan and Japan from the CCP dictatorship is not racist.,2022-11-29 09:25:30+00:00,0,0,1
92,"@NEWSMAX Who are stealing your Pension?
Who are destroyer of your cornerstone of liberal &amp;democracy
Who are becomin… https://t.co/PTYPFRYLOo",2022-11-29 09:25:29+00:00,0,0,1
93,@DrEricDing 😂 These CCP propaganda accounts just make me chuckle.,2022-11-29 09:25:17+00:00,0,0,0
94,Margaret #CCP Trixie #世界杯 Walton #利物浦 Wallace #世界杯投注  https://t.co/suYbe8svx7,2022-11-29 09:25:08+00:00,0,0,1
95,"@DarrenJBeattie If TWTR were Chinese, APPL wouldn't delete it b/c the CCP has APPL by the balls/FoxConn. If TWTR we… https://t.co/7MMMnYAbw8",2022-11-29 09:25:07+00:00,0,0,0
96,"@RonDeSantisFL Who are stealing your Pension?
Who are destroyer of your cornerstone of liberal &amp;democracy
Who are b… https://t.co/oLN4oDQQNe",2022-11-29 09:25:06+00:00,0,0,1
97,Salena #找路子 Rejoicing #世界杯 Hardy #CCP Mildred #卡塔尔世界杯  https://t.co/opMLtYush4,2022-11-29 09:25:04+00:00,0,0,1
98,@JoshJPhilipp BC THEY ARE OWNED BY THE CCP !,2022-11-29 09:25:01+00:00,0,0,0
99,@blachination @CheriB2022 I just wanna the CCP can stop persisting zero-covid policy and normally get around at out… https://t.co/agbj9Rb4UA,2022-11-29 09:24:57+00:00,0,0,0
100,"CCP fans                        Far-right
                         🤝
Being physically sealed into your
home to go h… https://t.co/WqteVkz2JB",2022-11-29 09:24:56+00:00,2,0,0
101,"@ClayTravis @GayLatina4Trump And then there's the whole ""sign California up for the CCP's Belt &amp; Road Initiative th… https://t.co/cmOGtmppzT",2022-11-29 09:24:50+00:00,0,0,0
102,"Professor Brady states, “I stand with the Chinese people who are bravely protesting against the government.

Join m… https://t.co/tsrbvhyNN5",2022-11-29 09:24:48+00:00,1,0,
103,"@audreyt
@iamchunyi
The UK recently issued a warning to its former military personnel not to be tempted by the CCP… https://t.co/DcBhvLhFqi",2022-11-29 09:24:39+00:00,0,0,0
104,"@TFDemocracy
@ChengWenTsan
In order to help the millions of Hong Kong residents who desire to escape the political… https://t.co/P6o1PQgePC",2022-11-29 09:24:18+00:00,0,0,0
105,"@SenMikeLee Who are stealing your Pension?
Who are destroyer of your cornerstone of liberal &amp;democracy
Who are beco… https://t.co/mSKbWuVsLu",2022-11-29 09:23:56+00:00,0,0,1
106,"@INDSRTW
@ChingteLai
Britain led the international condemnation of the CCP's cruel treatment of its Uyghur minority… https://t.co/TqmvqQTWXw",2022-11-29 09:23:54+00:00,0,0,1
107,"@rubrisquamis @jamesbooth100 @johnpilger Also insanely good and outright lying about stuff, but you keep believing the CCP...",2022-11-29 09:23:51+00:00,0,0,0
108,@ellymelly The CCP run apple it seems.,2022-11-29 09:23:50+00:00,0,0,1
109,@StephenM @Apple THEY ARE OWNED BY THE CCP !,2022-11-29 09:23:47+00:00,0,0,1
110,@WallStreetSilv @tim_cook @elonmusk And the CCP gives special thanks to Tim Cook and Apple for making a specific iO… https://t.co/22DW6kljW4,2022-11-29 09:23:43+00:00,0,0,1
111,"@Vikram_Sood @AbhijitChavda Xi-jinping move to unpeg Export dependant economy, kicked out West Lobby from CCP n man… https://t.co/rTztv1oyMo",2022-11-29 09:23:36+00:00,0,0,0
112,Hilarious that all it takes for the right to go from “we can’t fund more expensive wars abroad!” to “take down the… https://t.co/hIW5NcgzsG,2022-11-29 09:23:35+00:00,45,10,0
113,Logan #CCP Elfin #世界杯 Astrid #DOGE Bobbie #世界杯买球  https://t.co/RTNIka86pa,2022-11-29 09:23:25+00:00,0,0,1
114,"@webdevMason So basically the CCP is saying ""LOOK HOW CAREFUL WE ARE WHEN IT COMES TO VIRUSES!"" https://t.co/s2rB12OyTk",2022-11-29 09:23:23+00:00,1,0,0
115,@BBCNews Can we now investigate Barry Gardiner’s bung from a Chinese spy or Hunt’s CCP wife ?,2022-11-29 09:23:19+00:00,0,0,0
116,"@elonmusk They do, what CCP wants from them. CCP hate ""incorrect"" speech also in America.",2022-11-29 09:23:19+00:00,0,0,0
117,@iamtomnash TikTok is a much better and more open platform than Twitter. I would rather have my data go to CCP than… https://t.co/mHU34qf3Q4,2022-11-29 09:23:19+00:00,0,0,0
118,"@MarshaBlackburn Who are stealing your Pension?
Who are destroyer of your cornerstone of liberal &amp;democracy
Who are… https://t.co/f0loZsYn9s",2022-11-29 09:23:11+00:00,0,0,1
119,"#DrLiMengYan1 #COVID19 #LiMengYan
It has not been a day or two since Guo Wengui used news events to hype and break… https://t.co/hHosD6NIDi",2022-11-29 09:22:53+00:00,0,0,0
120,"@Song14167388 @RNlsp2 Who are stealing your Pension?
Who are destroyer of your cornerstone of liberal &amp;democracy
Wh… https://t.co/dQvDxZKrab",2022-11-29 09:22:52+00:00,0,0,1
121,"@Song14167388 @RNlsp2 Who are stealing your Pension?
Who are destroyer of your cornerstone of liberal &amp;democracy
Wh… https://t.co/Lnw2STtytZ",2022-11-29 09:22:39+00:00,0,0,1
122,"@SariArhoHavren I really thought that.  Someone try to impression something! Than I realise that! Oh"""" it's a actua… https://t.co/ICEGrDe6lp",2022-11-29 09:22:32+00:00,0,0,0
123,"@drewhendrySNP 
@antony_hig 
UK PM Sunak, pointing at the CCP, stated that Britain would reject the status quo &amp; wo… https://t.co/3OH7nhP49L",2022-11-29 09:22:09+00:00,0,0,1
124,Delight #CCP Drew #世界杯 Heath #2023卡塔尔 Douglas #世界杯买球  https://t.co/j45NhluoVP,2022-11-29 09:21:51+00:00,0,0,1
125,"@OliverHealdUK 
@JSHeappey 
The United Kingdom has told the CCP to ""take note"" of the protests against its draconia… https://t.co/psEjV5PWFu",2022-11-29 09:21:44+00:00,0,0,0
126,@hall_yve She'd fit right in with CCP politicians,2022-11-29 09:21:42+00:00,0,0,0
127,@MENnewsdesk 😭 Chinese protests #ChinaProtests #CCP #China #ChinaProtest2022 https://t.co/obS2olsZH5… https://t.co/aUi9UgFqzJ,2022-11-29 09:21:37+00:00,0,0,0
128,"@CGMeifangZhang Persons who support CCP must go to hell. 
Stop invasion and genocide.",2022-11-29 09:21:31+00:00,0,0,0
129,@American731776 @JennaEllisEsq Everything they build has to be approved by the CCP.,2022-11-29 09:21:31+00:00,0,0,0
130,@elonmusk @tim_cook Apple conspired with the CCP to block airdrops and suppress Chinese citizens voices while peopl… https://t.co/o7NPLJKNgY,2022-11-29 09:21:14+00:00,0,0,1
131,@frontwheelskid Rule of law ceased to exist sometime ago. What exists now is a farcical charade. People ought to un… https://t.co/vZ5pQN5oLL,2022-11-29 09:21:13+00:00,0,0,0
132,"@SwipeWright @elonmusk Our governments secretly acting like the ccp in china
 
..seeking total control of every asp… https://t.co/a5FRkQN7jT",2022-11-29 09:21:08+00:00,0,0,1
133,@SenJohnKennedy Simply because the CCP and the Biden family are conspiring against America. As proven by Hunter's laptop.,2022-11-29 09:21:08+00:00,0,0,1
134,Hartley #足球预测 Rejoicing #世界杯 Emily #CCP Dylan #世界杯买球  https://t.co/NE8GlZf3uK,2022-11-29 09:21:07+00:00,0,0,1
135,"@SenJohnKennedy Respectfully said.

Do your job.

Investigate all campaign money given to the Biden ""campaign"" from… https://t.co/IgD8j460rM",2022-11-29 09:20:58+00:00,0,0,0
136,"For years, I didn’t use app. Website is a bit more cumbersome I’d go back if need be. I’d also rethink my iOS produ… https://t.co/Qx4Nd0mfb7",2022-11-29 09:20:47+00:00,0,0,0
137,@MattMackowiak How is he going to hold CCP officials accountable?,2022-11-29 09:20:39+00:00,0,0,0
138,@IWDominate im gna go post that on his weibo now if i can figure how to log into that ccp website,2022-11-29 09:20:38+00:00,2,0,0
139,@de_doing @ChrisZheng001 Which other companies push ccp propaganda like Elon ?,2022-11-29 09:20:37+00:00,0,0,1
140,"@EmmaHardyMP 
In light of CCP’s cruel agenda, the world should replace its wishful thinking with “robust pragmatism… https://t.co/zlA6bJl1EF",2022-11-29 09:20:33+00:00,0,0,1
141,@TomFitton @elonmusk There are too many R leaders that are CCP vassals.,2022-11-29 09:20:29+00:00,0,0,0
142,@ProudElephantUS Biden is compromised in multiple ways with everything criminal that he has done in his useless job… https://t.co/j4UYfcEmXg,2022-11-29 09:20:19+00:00,0,0,0
143,@yopasta @StucknDaMid there is no CCP but a CPC,2022-11-29 09:20:12+00:00,0,0,0
144,"@patfkauffman Who are stealing your Pension?
Who are destroyer of your cornerstone of liberal &amp;democracy
Who are be… https://t.co/SK3zBbiDGu",2022-11-29 09:20:11+00:00,0,0,1
145,That's because the treasonous traitors at the @DNC and the @GOP sold out America's pharmaceuticals to the CCP behin… https://t.co/opf4BvEbOA,2022-11-29 09:20:07+00:00,0,0,1
146,@Cynthia43259532 @DanielAndrewsMP Yep. The CCP officials who will be given Australia as a gift by the UN and WEF wi… https://t.co/GehCvp78xP,2022-11-29 09:20:07+00:00,0,0,0
147,@Roidsrages0278 @holleritsholly @Somniac1974 @ianbremmer Chinese culture values parents lives highly  ...so old peo… https://t.co/CZGBYUdh71,2022-11-29 09:20:01+00:00,0,0,0
148,Leo #足球预测 Unity #世界杯 Larissa #CCP Handsome #世界杯买球  https://t.co/fkDJKiBQ4f,2022-11-29 09:19:56+00:00,0,0,1
149,Amanda Joy is a New York City civil servant who lost her job because she refused to get vaccinated. She said that i… https://t.co/cIvjxk23k9,2022-11-29 09:19:53+00:00,0,0,0
150,"@julesrprecious Who are stealing your Pension?
Who are destroyer of your cornerstone of liberal &amp;democracy
Who are… https://t.co/mABDX0YsXb",2022-11-29 09:19:49+00:00,0,0,1
151,Philbert #找路子 Hector #世界杯 Rebellious #CCP Anne #世界杯投注  https://t.co/2eATyfL445,2022-11-29 09:19:41+00:00,0,0,1
152,#RishiSunak  Tone deaf standing making a speech criticising the CCP for cracking down on protests whilst trying to… https://t.co/SjZlbq4BYI,2022-11-29 09:19:32+00:00,0,0,0
153,1,2022-11-29 09:19:27+00:00,0,0,1
154,Dude china also developed space unicorns yup they are actually unicorns that carry people into space at faster than… https://t.co/QOBeU2AqPd,2022-11-29 09:19:13+00:00,0,0,0
155,"@GwynneMP 
@halfon4harlowMP 
Recently, the UK's domestic intelligence service told MPs that numerous individuals em… https://t.co/b6tsD58C1B",2022-11-29 09:19:10+00:00,0,0,0
156,Were all witnessing CCP Tyrant control &amp; barbaric treatment of there own citizens &amp; many crimes against humanity in… https://t.co/bNB4G8NCJb,2022-11-29 09:19:10+00:00,0,0,0
157,@elonmusk Apple is an arm of the CCP. I wish Android didn’t suck like a turbo leach.,2022-11-29 09:19:08+00:00,0,0,1
158,"@notcherylkernot China: 3yr lockdown, daily covid tests, no hint covid zero will end, poor vaccines, lockdowns with… https://t.co/RD2ICEQhRv",2022-11-29 09:19:02+00:00,0,0,0
159,"@ericswalwell Denounce CHYNA! How about exposing the tentacles the CCP has throughout the halls of Congress, Wall S… https://t.co/UBNcCf0ABK",2022-11-29 09:18:29+00:00,0,0,0
160,"Did you ask the CCP, if they are going along with your plan?  🤔 https://t.co/PfCmYpXDcF",2022-11-29 09:18:20+00:00,1,1,0
161,"@JNHanvey 
@HarrietHarman 
The CCP opposes democratic regimes that can survive. Under Xi, the Chinese are growing m… https://t.co/bFXXxGjg7q",2022-11-29 09:18:14+00:00,0,0,0
162,@peterboghossian @elonmusk Jailbreak the iPhone and offer a side loading option to download indefinitely. Oh and ma… https://t.co/SAgtOE11be,2022-11-29 09:18:13+00:00,0,0,0
163,Ridley #CCP Mandy #世界杯 Landon #利物浦 Humble #世界杯投注  https://t.co/pQt08JaEQx,2022-11-29 09:18:12+00:00,0,0,1
164,@ChrisNicholsNFI @444333account @KeaweWong This guy is a brainwashed apologist. I have real friends in China who ha… https://t.co/x6uJ0diGNN,2022-11-29 09:17:59+00:00,0,0,0
165,"@S_Hammond 
@GregHands 
The CCP is one of the greatest threats to Britain &amp; other democratic nations. It is flexing… https://t.co/udz3eXv3p2",2022-11-29 09:17:49+00:00,0,0,1
166,Damon #CCP Timothy #世界杯 Ethanael #2022卡塔尔 Nancy #卡塔尔世界杯  https://t.co/aZvMQYMqOX,2022-11-29 09:17:39+00:00,0,0,1
167,"Every historical injustice by foreigners is drilled into young #Chinese minds from KG, while libraries, schools and… https://t.co/av1VNLNBL7",2022-11-29 09:17:34+00:00,0,0,0
